,subscribers,youtuber,uploads,country,channel_type,highest_yearly_earnings,video_views,estimate_money,money_per_1000_views
0,245000000,T-Series,20082.0,India,Music,108400000.0,228000000000.0,1940142000.0,8.509394736842106
1,166000000,MrBeast,741.0,United States,Entertainment,64700000.0,28368841870.0,794891000.0,28.01986079102495
2,162000000,Cocomelon - Nursery Rhymes,966.0,United States,Education,94800000.0,164000000000.0,1747863200.0,10.65770243902439
3,159000000,SET India,116536.0,India,Entertainment,87500000.0,148000000000.0,1615207600.0,10.913564864864865
4,112000000, Kids Diana Show,1111.0,United States,Entertainment,35100000.0,93247040539.0,336920400.0,3.613202071105786
5,111000000,PewDiePie,4716.0,Japan,Entertainment,1900000.0,29058044447.0,26882700.0,0.9251379613322676
6,106000000,Like Nastya,493.0,Russia,People,2300000.0,90479060027.0,19828800.0,0.21915347036190316
7,98900000,Vlad and Niki,574.0,United States,Entertainment,27900000.0,77180169894.0,187476300.0,2.42907342983932
8,96700000,Zee Music Company,8548.0,India,Music,38600000.0,57856289381.0,401879400.0,6.946166169653756
9,96000000,WWE,70127.0,United States,Sports,34300000.0,77428473662.0,598686000.0,7.732116774165735
10,89800000,BLACKPINK,543.0,South Korea,Music,23900000.0,32144597566.0,211908900.0,6.592364379890087
11,83000000,Sony SAB,71270.0,India,Entertainment,79600000.0,101000000000.0,1379411100.0,13.657535643564357
12,75600000,BANGTANTV,2281.0,South Korea,Music,8100000.0,20826993957.0,105393700.0,5.0604374408327395
13,71600000,Justin Bieber,249.0,Canada,Music,8500000.0,30608119724.0,142819200.0,4.666055977558617
14,71300000,HYBE LABELS,1337.0,South Korea,Music,28700000.0,28634566938.0,470354500.0,16.426108382166866
15,70500000,Zee TV,129204.0,India,Entertainment,81900000.0,73139054467.0,1599673200.0,21.871669132963227
16,68200000,Pinkfong Baby Shark - Kids' Songs & Stories,2865.0,United States,Education,22700000.0,38843229963.0,318924300.0,8.210550469252695
17,65900000,ChuChu TV Nursery Rhymes & Kids Songs,633.0,India,Education,20200000.0,45757850229.0,231260500.0,5.054007101352716
18,65600000,Shemaroo Filmi Gaane,8502.0,India,Music,12200000.0,28648024439.0,173215500.0,6.046333155321978
19,64600000,Colors TV,112915.0,India,Entertainment,57000000.0,61510906457.0,941147900.0,15.300504483020774
20,59500000,Dude Perfect,389.0,United States,Sports,6800000.0,16241549158.0,102723000.0,6.324704558702909
21,59500000,Movieclips,39113.0,United States,Film,5500000.0,59316472754.0,99330000.0,1.674576983225991
22,59300000,Tips Official,4741.0,India,Music,20300000.0,33431802698.0,350746000.0,10.491387591880674
23,58400000,El Reino Infantil,1510.0,Argentina,Music,29400000.0,57271630846.0,388731000.0,6.787496606221577
24,58000000,Wave Music,19487.0,India,Music,11100000.0,40602020243.0,122684100.0,3.021625506951255
25,57600000,Aaj Tak,283775.0,India,News,22100000.0,25307753534.0,335255300.0,13.247137860324003
26,57200000,Sony Music India,3882.0,India,Music,12400000.0,28837144516.0,187040000.0,6.486079087900771
27,56900000,EminemMusic,156.0,United States,Music,12500000.0,27073872856.0,202895000.0,7.494125464766496
28,56400000,Marshmello,436.0,United States,Music,5400000.0,14696003229.0,51709200.0,3.518589319438969
29,54600000,YRF,3707.0,India,Music,24600000.0,35302243691.0,436176000.0,12.35547530116901
30,53500000,Ed Sheeran,383.0,United Kingdom,Music,9700000.0,30367676736.0,178647000.0,5.882801030617504
31,53300000,Infobells - Hindi,577.0,India,Education,39200000.0,30516172739.0,424152000.0,13.899252820060529
32,52900000,Taylor Swift,216.0,United States,Music,25400000.0,29884657286.0,464424400.0,15.540563023875395
33,52700000,Ariana Grande,147.0,United States,Music,7700000.0,24004842608.0,129772800.0,5.406109180518065
34,52200000,BillionSurpriseToys  - Nursery Rhymes & Cartoons,847.0,United States,Education,12800000.0,9877365274.0,158094900.0,16.00577640032714
35,48100000,JuegaGerman,2052.0,Chile,Games,3200000.0,14631710289.0,36852000.0,2.5186392617208275
36,47900000,Billie Eilish,65.0,United States,Music,7000000.0,13626331061.0,79851500.0,5.860088063509878
37,47500000,Get Movies,3322.0,Russia,Film,14700000.0,30788679536.0,268492600.0,8.72049740509534
38,47400000,Shemaroo,11451.0,India,Entertainment,11200000.0,22519705183.0,195507200.0,8.681605660965193
39,46800000,Badabun,915.4,United States,Music,21.0,19398045702.0,419.58,2.1630013994489146e-05
40,46600000,SonyMusicIndiaVEVO,3444.0,United States,Music,15100000.0,27286058807.0,244280000.0,8.95255711819151
41,46100000,Fernanfloo,543.0,El Salvador,Games,1600000.0,10323391593.0,21826800.0,2.114305148978378
42,45500000,Voot Kids,4660.0,India,Entertainment,11200000.0,21388725229.0,103545000.0,4.841101977391717
43,45200000,Felipe Neto,4331.0,Brazil,Entertainment,6300000.0,16602198273.0,113401600.0,6.830517148107065
44,44700000,Voc���,1558.0,Brazil,Entertainment,2300000.0,7828610828.0,27375200.0,3.4968145181121018
45,44600000,HAR PAL GEO,100755.0,Pakistan,Entertainment,64200000.0,41139050371.0,1013002800.0,24.623874174647753
46,44200000,Katy Perry,128.0,United States,Music,6400000.0,25458952022.0,105210600.0,4.132558163002299
